% 1. Title: Bookkeeper
% 
% 2. Sources:
%      (a) Domenico Verde
% 
@RELATION bookkeeper

@ATTRIBUTE version  string
@ATTRIBUTE filename string
@ATTRIBUTE loc numeric
@ATTRIBUTE age numeric
@ATTRIBUTE num-revisions numeric
@ATTRIBUTE changeset numeric
@ATTRIBUTE avg-changeset numeric
@ATTRIBUTE max-changeset numeric
@ATTRIBUTE num-authors numeric
@ATTRIBUTE loc-added numeric
@ATTRIBUTE avg-loc-added numeric
@ATTRIBUTE buggyness {yes, no}


@DATA
1,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java,144,346.0,10,4404,440.4,951,7,262,26.2,yes
1,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java,258,367.14285714285717,16,8752,547.0,2314,9,397,24.8125,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,551,438.14285714285717,151,16356,108.31788079470199,3194,28,3131,20.735099337748345,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java,88,397.0,15,10142,676.1333333333333,2838,9,56,3.7333333333333334,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java,174,448.0,17,11400,670.5882352941177,3199,9,231,13.588235294117647,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java,493,443.85714285714283,80,15258,190.725,3199,22,2220,27.75,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java,130,420.0,36,12573,349.25,3144,12,354,9.833333333333334,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java,542,422.2857142857143,26,9890,380.38461538461536,3155,11,714,27.46153846153846,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java,139,435.57142857142856,22,10727,487.59090909090907,3193,11,200,9.090909090909092,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java,157,422.2857142857143,13,10033,771.7692307692307,3155,8,80,6.153846153846154,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java,153,329.7142857142857,3,1380,460.0,762,3,148,49.333333333333336,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java,132,359.42857142857144,12,6565,547.0833333333334,1730,6,175,14.583333333333334,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java,255,421.7142857142857,31,12018,387.6774193548387,3147,15,246,7.935483870967742,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java,416,435.57142857142856,98,15890,162.14285714285714,3193,22,1496,15.26530612244898,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java,720,436.57142857142856,91,15456,169.84615384615384,3195,23,1367,15.021978021978022,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java,210,432.14285714285717,37,12315,332.8378378378378,3163,18,711,19.216216216216218,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/CRC32DigestManager.java,56,355.85714285714283,5,3661,732.2,1295,4,68,13.6,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DigestManager.java,190,355.85714285714283,15,4915,327.6666666666667,1231,9,343,22.866666666666667,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DistributionSchedule.java,67,433.42857142857144,12,10119,843.25,3193,8,78,6.5,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerCreateOp.java,173,407.57142857142856,39,12548,321.7435897435897,2979,12,274,7.0256410256410255,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerDeleteOp.java,86,398.57142857142856,16,10522,657.625,2872,8,62,3.875,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerEntry.java,89,348.57142857142856,13,5070,390.0,983,8,106,8.153846153846153,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java,553,445.0,135,16566,122.71111111111111,3199,26,2677,19.82962962962963,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerMetadata.java,204,400.57142857142856,65,12834,197.44615384615383,2915,15,1389,21.369230769230768,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerOpenOp.java,146,400.57142857142856,32,11376,355.5,2915,10,234,7.3125,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerRecoveryOp.java,184,400.57142857142856,34,11625,341.9117647058824,2915,10,285,8.382352941176471,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/MacDigestManager.java,73,355.85714285714283,12,5419,451.5833333333333,1231,8,131,10.916666666666666,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingAddOp.java,145,426.14285714285717,50,14207,284.14,3158,14,275,5.5,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingReadOp.java,176,418.7142857142857,72,14642,203.36111111111111,3127,17,767,10.652777777777779,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadLastConfirmedOp.java,107,451.42857142857144,27,12318,456.22222222222223,3197,9,117,4.333333333333333,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadOnlyLedgerHandle.java,84,367.57142857142856,29,11996,413.6551724137931,2915,12,191,6.586206896551724,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/RoundRobinDistributionSchedule.java,93,433.42857142857144,13,11176,859.6923076923077,3193,9,131,10.076923076923077,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/SyncCounter.java,91,348.57142857142856,3,2417,805.6666666666666,1222,3,2,0.6666666666666666,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/AbstractConfiguration.java,67,405.85714285714283,55,14200,258.1818181818182,3199,21,181,3.290909090909091,yes
